id;type;theme;gender;price;description;imagep
1;SHORT;Spiderman;MAN;50.00;Short de compression Anime Gym Short d'entraînement respirant 2 couches;https://ecom-cdlja-pictures.s3.eu-north-1.amazonaws.com/1/Blanc/Image_1.webp
2;TEESHIRT;AnimeGirl;WOMAN;32.15;Chemise de gym Anime Girl surdimensionnée, t-shirt Muscle Mommy, chemise vintage Comfort Colors, chemise Kanji japonaise3;https://ecom-cdlja-pictures.s3.eu-north-1.amazonaws.com/2/Noir/Image_1.webp
3;TEESHIRT;Berserk;MAN;51.55;Haut serré Berserk !;https://ecom-cdlja-pictures.s3.eu-north-1.amazonaws.com/3/Blanc/Image_1.webp
4;JOGGER;Haikyuu;MAN;34.90;Enfiles ce superbe survêtement de Haikyuu et porte les couleurs de tes équipes préférées !;https://ecom-cdlja-pictures.s3.eu-north-1.amazonaws.com/4/Blanc/Image_1.webp
5;TEESHIRT;Haikyuu;MAN;18.00;Tee-Shirt en maille de sport conçu sur les maillots de l'animé Haikyuu !;https://ecom-cdlja-pictures.s3.eu-north-1.amazonaws.com/5/Noir/Image_1.webp
6;SHORT;Jujutsu Kaisen;MAN;16.00;Short de sport Toji;https://ecom-cdlja-pictures.s3.eu-north-1.amazonaws.com/6/Blanc/Image_1.webp
7;TEESHIRT;Jujutsu Kaisen;MAN;18.00;Haut de corps moulé Toji, Jujutsu Kaisen;https://ecom-cdlja-pictures.s3.eu-north-1.amazonaws.com/7/Blanc/Image_1.webp
8;TEESHIRT;One Piece;MAN;12.37;Rash Guard-Chemises de Compression pour Hommes, Imprimé Anime Manga, Fitness, vaccage Rapide, dehors, Y-Tees, Extérieur, Été, éventuelles F 60;https://ecom-cdlja-pictures.s3.eu-north-1.amazonaws.com/8/Blanc/Image_1.webp
9;SHORT;One Piece;UNISEX;36.99;Short de Fitness de Compression - One Piece Portgas D. Ace;https://ecom-cdlja-pictures.s3.eu-north-1.amazonaws.com/9/Noir/Image_1.webp
10;LEGGING;Dragon Ball Z;MAN;39.90;Ce Legging Dragon Ball Z Musculation est d’une excellente qualité et souple. Il permet de s’entraîner avec intensité.;https://ecom-cdlja-pictures.s3.eu-north-1.amazonaws.com/10/Noir/Image_1.webp
11;BRA;Dragon Ball Z;WOMAN;39.90;Cette Brassière Dragon Ball Z aux couleurs de Bulma a été spécialement conçue pour tes séances de sport (musculation, yoga, running, …). Augmente tes performances et réveille le Guerrier qui sommeille en toi !;https://ecom-cdlja-pictures.s3.eu-north-1.amazonaws.com/11/Blanc/Image_1.webp
12;LEGGING;Venom;WOMAN;28.00;Legging de sport pour Femmes Venum X Sophia Rose - Urban Red Camo;https://ecom-cdlja-pictures.s3.eu-north-1.amazonaws.com/12/Vert/Image_1.webp
13;BRA;Venom;WOMAN;29.00;Brassière de sport pour Femmes Venum X Sophia Rose - Urban Red Camo;https://ecom-cdlja-pictures.s3.eu-north-1.amazonaws.com/13/Rouge/Image_1.webp
14;SWEAT;Undertale;CHILD;14.05;Undertale-Sweat à capuche Sportedly pour homme, sweat-shirt de jeu, costume cool, vêtements d'hiver avec poche combinée, streetwear pour adolescent;https://ecom-cdlja-pictures.s3.eu-north-1.amazonaws.com/14/Noir/Image_1.webp
15;SWEAT;Call of Duty;MAN;41.99;Call of Duty: Modern Warfare 2 Official Video Game Logo Sweat à Capuche;https://ecom-cdlja-pictures.s3.eu-north-1.amazonaws.com/15/Noir/Image_1.webp
